	mgm4472160.3	mgm4472167.3	mgm4472253.3	mgm4472255.3	mgm4472304.3	mgm4472305.3	mgm4472312.3	mgm4472337.3	mgm4472353.3	mgm4472361.3	mgm4472397.3	mgm4472419.3	mgm4472428.3	mgm4472444.3	mgm4472462.3	mgm4472464.3	mgm4472467.3	mgm4472473.3	mgm4472484.3	mgm4472495.3	mgm4472580.3	mgm4472586.3	mgm4472682.3	mgm4472751.3	mgm4472934.3	mgm4473326.3	mgm4473472.3	mgm4473666.3	mgm4478487.3	mgm4478571.3
ABC_transporter_peptide_(TC_3.A.1.5.5)	7812	15865	16920	8159	17455	16674	1736	0	6636	193	3082	4986	9643	3421	9459	0	603	0	14706	6560	0	0	0	6577	0	0	3302	3609	6365	3141
ABC_transporter_tungstate_(TC_3.A.1.6.2)	0	0	1049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMP_to_3-phosphoglycerate	48	84	0	0	381	377	0	0	404	0	0	188	333	63	0	0	0	0	98	9	0	0	0	14	0	0	228	95	25	197
ATP-dependent_Nuclease	24004	23772	23601	25381	24608	24864	10189	0	27150	2625	5081	22247	14868	8136	14864	0	0	0	33742	25471	0	1252	0	15988	0	0	20050	10273	19136	19811
ATP-dependent_RNA_helicases,_bacterial	41582	44524	39072	36563	42462	47742	27385	19827	37763	19928	27363	42523	57406	23664	31319	14632	20758	23364	46717	37001	17669	11898	18415	32209	16718	17871	21981	22016	35377	22084
ATP-dependent_efflux_pump_transporter_Ybh	0	0	0	0	0	0	0	0	0	1059	0	0	0	0	0	0	950	0	0	0	0	0	0	0	0	0	5763	0	0	4463
A_Gammaproteobacteria_Cluster_Relating_to_Translation	53332	52978	48845	49439	58494	58845	48371	22579	50977	20318	48389	70672	84742	31023	45086	26269	21451	28135	57827	51400	20827	20274	20448	37649	20293	19540	38991	40036	46511	38337
A_Glutathione-dependent_Thiol_Reductase_Associated_with_a_Step_in_Lysine_Biosynthesis	6352	10936	10481	6139	5975	7855	6840	0	6144	37	0	0	13187	3903	6359	0	80	0	8212	5804	0	9	0	7365	0	0	2045	4384	6038	1984
A_Gram-positive_cluster_that_relates_ribosomal_protein_L28P_to_a_set_of_uncharacterized_proteins	74408	71119	61464	67472	70126	76142	13450	30002	62723	29880	520	19604	75718	41029	53418	31203	26257	36058	79021	67092	24395	25225	28586	52361	23662	27389	47502	11645	61535	47106
A_Hypothetical_Protein_Related_to_Proline_Metabolism	0	0	0	0	8723	0	0	0	0	4349	0	0	0	0	0	0	4453	0	0	0	3728	0	4473	0	3757	4253	0	0	0	0
A_conserved_operon_linked_to_TyrR_and_possibly_involved_in_virulence	5537	8991	9196	5632	9243	8980	1751	30	4825	83	1650	4573	5102	2211	3827	11	243	0	8034	6161	9	14	0	3791	0	0	1586	1986	4524	1636
A_toxin-antitoxin_module_cotranscribed_with_DinB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	14	0	0	0	0	0	0	0	0
Accessory_colonization_factor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetoin,_butanediol_metabolism	62705	58664	50324	48584	61241	67413	41807	25472	53643	28119	44243	65163	67463	34136	42512	29991	29504	28611	78644	53862	27949	21498	27710	39198	33839	25902	30847	35267	53223	35592
Acetone_Butanol_Ethanol_Synthesis	68608	45044	39891	47011	55040	57064	20551	30165	55163	27056	18647	33461	58849	34304	11141	24995	30688	38232	61898	46747	21281	24832	20553	25775	15941	21937	25460	26512	58030	20778
Acetone_carboxylase	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetyl-CoA_fermentation_to_Butyrate	49574	28789	24128	31024	41150	39933	5114	25017	44689	24004	5363	18622	37172	20349	2598	23311	26568	33074	47272	31754	21933	17246	21260	9187	19669	24238	17775	16655	41557	13316
Acid_resistance_mechanisms	13384	9109	9874	10302	11768	11663	10564	20413	11942	19296	8376	11458	16602	7163	11270	26123	18771	23640	13387	11912	18245	20169	19729	3845	17328	18683	11341	11706	10176	11391
Acyl-CoA_thioesterase_II	2746	4385	4221	2862	4273	4803	0	0	2230	0	0	0	0	0	0	0	111	386	4176	0	0	0	0	0	0	0	1295	0	2428	1176
Acyl_Homoserine_Lactone_(AHL)_Autoinducer_Quorum_Sensing_	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adaptation_to_d-cysteine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0
Adenosyl_nucleosidases	22206	19412	17598	12031	18989	22109	0	10967	16233	13023	0	15854	19262	8376	10382	17342	14464	12900	22600	11718	11797	14706	14574	8425	11727	14590	9386	9810	18206	9082
Adhesins_in_Staphylococcus	0	5	3094	0	0	1	0	4178	0	2332	0	0	0	0	0	3417	1238	4704	0	0	5154	4017	3649	0	0	0	0	0	0	0
Adhesion_of_Campylobacter	9795	7490	7784	8658	7961	7799	4007	1767	6528	2765	5100	7048	6246	6625	3936	1332	2241	1961	10350	8619	2468	1686	1755	3724	0	889	6113	5006	7459	5899
Aerotolerance_operon_in_Bacteroides_and_potentially_orthologous_operons_in_other_organisms	1868	1257	1079	1218	1824	1570	4532	30221	2120	28289	2227	2996	4413	696	2184	43129	27745	35588	1653	1070	30660	32645	36594	990	30021	31282	3818	2288	1658	3901
Agrobacterium_opine_transport	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Alanine_biosynthesis	91113	80525	77021	54206	87699	99852	33004	18845	82906	15996	11899	49339	84410	29053	48864	31991	18786	31475	93626	57998	22108	16431	25230	58544	21714	23823	28033	27135	77405	27299
Alcaligin_Siderophore	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0
Alginate_metabolism	11486	10736	10372	9057	10059	10912	0	34268	9618	38182	0	0	26414	6190	0	50907	42656	50512	11624	9630	36566	41992	42149	10048	36171	37958	17010	0	9597	10053
Alkaloid_biosynthesis_from_L-lysine	831	174	515	225	710	802	2966	0	549	32	2943	2903	4743	230	2102	0	0	0	404	461	0	0	0	1388	0	0	2784	1872	666	2703
Alkanesulfonate_assimilation	7349	6653	9575	6749	5454	7242	2739	30015	9719	35654	0	0	5153	2272	2619	37014	37651	35664	7124	7894	34281	29085	37884	2898	44191	29872	1327	2435	5752	1296
Alkylphosphonate_utilization	3920	4091	4109	3398	4127	4377	2729	3520	3205	3559	0	4004	5957	2684	4033	1	4701	4430	4356	3559	3592	3260	3315	3134	3647	3359	0	2169	3113	0
Allantoin_Utilization	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1138	0	0	0	0	9	0	0	29	0	1	0	0	0
Allophanate_hydrolase_2_and_Biotin_carboxylase_cluster	12922	14718	11705	10204	8283	10567	0	10429	12929	10012	0	7158	0	3815	0	12181	9457	11515	11641	7608	10720	9965	10889	0	10138	10032	6496	2076	9985	6355
Alpha-Amylase_locus_in_Streptocococcus	4761	4685	4429	0	4718	4976	0	0	2896	0	0	0	0	3354	0	0	0	1716	5103	0	0	963	0	9079	0	0	4290	0	3633	4291
Alpha-acetolactate_operon	2520	2431	2009	2292	1922	1861	2130	0	1029	0	2062	2280	2825	2067	1388	0	0	0	3918	1378	2	0	0	1684	0	0	1118	1324	2029	1086
Aminoglycoside_adenylyltransferases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	344	0	0	9	0	210	0	0	0	0	0	0	0	0
Aminopeptidases_(EC_3.4.11.-)	60421	63073	56282	51908	60496	68182	18837	30555	33627	31340	3676	10302	40664	23516	24241	35974	29671	35100	64137	54443	31573	30335	30537	46941	28194	26172	11104	16141	50960	11193
Ammonia_assimilation	40961	55407	52750	48566	45496	53664	30302	73520	51876	64104	22861	59553	55756	26405	37078	71710	75441	86700	53747	50943	53310	63915	55038	46899	49112	54937	28689	25485	36029	33064
Anaerobic_Oxidative_Degradation_of_L-Ornithine	5781	4803	2690	4531	5701	5533	712	0	3556	0	1942	2647	991	872	146	0	0	0	7623	5188	0	0	0	1240	0	0	87	1153	4416	111
Anaerobic_benzoate_metabolism	16632	5464	3895	5770	15581	9757	1512	0	7642	0	4515	6053	7299	3681	3884	0	0	1834	17532	9600	731	0	0	1052	0	0	7175	4794	13206	2871
Anaerobic_respiratory_reductases	24542	18843	20318	22478	18885	21846	12105	1600	19262	2368	7602	21568	31246	12343	4676	994	4532	1340	25049	21506	1199	3004	1059	10289	104	714	10215	16561	20969	10181
Anaerobic_toluene_and_ethylbenzene_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Archaeal_Flagellum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Archaeal_lipids	36882	32329	30450	5625	37177	35458	2486	12394	4251	11674	0	3568	4290	5071	1909	14517	11712	14641	40924	3240	11260	12304	12291	33079	11698	11329	15960	2020	30868	11383
Archaeal_membrane_bound_hydrogenases	0	0	0	1	0	1	0	0	6	9	0	0	0	0	0	84	8	0	0	0	14	0	0	0	0	10	1	0	0	1
Archease2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	926	0	0	366	0	0	0	1027	0	0	0	0	0
Arginine_Biosynthesis_extended	41008	46493	51734	46574	43536	53573	49084	64348	46861	56583	42544	71362	78947	28203	51117	63420	64554	77437	56546	47715	48047	58095	56705	46330	48435	49127	31665	39530	52127	30948
Arginine_Deiminase_Pathway	35881	39079	36341	34464	41888	41140	14160	4979	32669	6010	15188	23496	48164	16448	32111	3771	8556	6850	43008	43501	4814	4758	3247	28590	2368	0	10918	22684	29365	10828
Arginine_and_Ornithine_Degradation	95580	99437	97963	88488	106667	113859	68886	55273	94021	55259	47370	73633	156778	50683	77590	60459	61743	66114	98329	100576	47609	52134	47565	80537	36237	39563	41629	56197	79626	41663
Aromatic_Amin_Catabolism	0	507	401	386	0	0	785	0	0	0	0	330	23	0	0	0	1202	0	0	400	0	0	0	928	0	0	0	5	553	0
Aromatic_amino_acid_degradation	10937	7504	10122	8661	9215	9514	3893	5162	9999	4195	9283	12698	14468	6419	5258	8197	5780	7163	11176	10843	4664	6677	6053	6609	5294	7825	4260	7404	8906	3959
Aromatic_amino_acid_interconversions_with_aryl_acids	0	0	0	0	0	0	0	30326	0	27569	0	0	0	0	0	37160	29533	32967	0	0	27420	26118	27890	0	23289	27344	0	0	0	0
Arsenic_resistance	0	0	0	0	0	0	0	6688	0	1548	0	0	0	0	0	39	1527	5587	0	0	0	6707	8733	0	1808	3401	103	0	0	101
Aspartate_aminotransferase	31946	28372	27968	28621	25735	28098	23690	37032	27368	35350	0	37826	45445	19515	26085	39025	37918	44237	32085	29194	30419	37196	37149	22732	34677	36130	21828	24299	25598	21145
At1g14345	0	0	5720	0	5540	5869	0	0	0	0	0	0	0	0	2867	0	0	0	6968	0	0	0	0	2156	0	0	7589	0	0	7549
At1g26220_At1g32070	7005	14060	13752	11481	14166	14584	50	3237	4600	3247	315	271	8922	4652	4738	4323	3701	3690	14828	6754	0	2097	0	5800	1387	0	3738	4317	5581	3711
At1g54520	724	0	0	0	400	0	0	0	0	8180	0	0	0	0	0	2603	5891	2318	359	0	7809	0	6314	0	7475	6055	0	0	7647	0
At1g69340_At2g40600	3762	6195	6103	0	16058	4055	3126	20513	0	21446	0	0	0	0	0	23774	20899	23147	8088	3789	18277	21019	20802	2611	17054	19914	5124	0	3151	5020
At2g23840	63949	55958	51645	56600	55725	66412	58082	33099	64266	28844	61487	87304	106633	39608	53783	35589	30123	39819	65538	60223	24344	30663	29534	46886	24036	30309	47570	50189	55801	46420
At2g33980_At1g28960	20238	19971	16928	18071	16437	20524	0	9930	16834	8747	0	0	33060	11496	16748	11898	9209	12386	20991	18503	7465	8544	8052	15438	7247	7987	13699	14648	17084	13058
At3g21300	52950	43069	38876	46743	42510	49174	34757	19441	46404	18011	17791	28749	51641	31107	25731	24001	19475	22687	53527	49982	17317	18703	18635	30131	16065	17691	33971	25027	43221	33769
At4g10620_At3g57180_At3g47450	29799	24991	22368	18484	32832	25737	5003	4507	20020	12741	9373	12432	12804	15044	4864	16547	7869	5396	30794	19984	14280	5416	14479	19957	14179	12893	18606	7496	23176	14287
At4g17370	0	36	43	0	0	30	0	0	1	0	2	0	0	0	17	0	0	0	0	14	3	0	0	11	0	0	8	2	12	5
At4g38090	19209	21562	19541	16949	19829	22651	7891	3351	18871	3757	1529	1851	13752	11731	1162	4297	3918	4315	18482	16202	2552	3234	2998	11652	2994	3223	7568	1769	17311	7449
At5g04520_AT1G06240	65315	69208	63205	62883	65313	75522	45288	36746	60799	34088	43021	60301	82689	35915	41261	42579	36316	43360	69920	62003	29335	32570	37180	54706	34070	31867	32501	37607	56202	33798
At5g11840_At5g67370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1916	0	0	0	1941	0	0	0	0	0
At5g37530	121737	117129	108481	95843	118968	133968	77501	56794	108710	49911	59513	124096	152363	57909	84916	68577	53557	64006	127689	101466	44898	50082	53013	87518	43830	49012	69202	66158	100587	67592
At5g38900	0	0	0	422	211	0	0	0	178	0	0	0	0	442	0	0	0	0	489	0	0	0	0	0	0	0	0	0	0	0
At5g48545_and_At3g56490_At1g31160	3940	5227	3182	4296	3552	4864	2364	854	1733	937	1990	3892	4621	2651	1456	1158	788	965	6358	2994	1134	1023	1258	4407	0	1	3661	2005	4081	3542
At5g63420	111711	119016	109524	106534	111664	132311	90208	50354	109160	51548	86456	136472	158191	72969	98412	59916	50512	65359	116560	112060	40432	44190	43908	88333	42055	43534	81490	71775	104558	57859
Autoinducer_2_(AI-2)_transport_and_processing_(lsrACDBFGE_operon)	6656	6236	6224	5817	5790	6770	5002	2762	5698	1783	9282	6682	14430	4025	4125	2092	3141	3395	6423	5913	1398	2251	2172	10040	2854	1511	3781	4905	5794	3686
Autotransporter_proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	61	0	0	54	0	0	0	0	0
Auxin_biosynthesis	40239	46415	50311	41074	38189	45133	22195	13046	43241	17730	23305	31627	32677	22367	19769	20359	19957	24160	42813	48115	14583	17104	17366	34647	17845	15914	19187	14350	34647	18582
Auxin_degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	582	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillibactin_Siderophore	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacterial_Cell_Division	269916	273045	259271	242609	283862	289635	137170	144171	215411	146105	83750	196856	260315	102801	134710	166449	153652	178622	311268	246473	128048	141117	136075	182733	132110	139795	126798	112536	228419	102350
Bacterial_Chemotaxis	23784	20243	16181	15171	22333	22745	2597	1151	15726	1859	4765	5424	9832	12215	6664	946	2333	2996	25208	15417	1432	2102	1123	13463	0	0	11623	10821	18541	11459
Bacterial_Cytoskeleton	133230	140614	133508	126280	158248	145557	58230	125437	97620	109360	30649	81024	108938	24628	55009	121651	118333	147168	174080	123973	102819	109262	111428	85350	100590	107473	76812	44814	112664	53768
Bacterial_RNA-metabolizing_Zn-dependent_hydrolases	129783	148705	136948	132213	136838	161010	90208	65155	120367	66773	86456	137621	158191	73571	99311	76987	64434	83676	146376	129990	52093	58184	57563	100730	55505	56563	91406	71775	120130	67366
Bacterial_cyanide_production_and_tolerance_mechanisms	11737	21324	21492	13054	17151	16323	7431	2828	13466	3168	10721	14642	24819	7515	20406	3596	3923	3077	26511	15320	2613	2807	3163	16567	2665	2832	8743	10101	16090	8874
Bacterial_hemoglobins	0	0	3574	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacterial_signal_recognition_particle_(SRP)	43765	41344	38027	39051	37799	45172	40807	19710	39945	18205	24635	58749	70288	25982	36668	22037	18762	24537	44068	41295	13449	17712	17439	31729	13363	17971	26425	31943	37594	26272
Bacteriocin-like_peptides_Blp	318	1016	1077	112	987	1075	900	0	775	3	788	1424	1026	59	314	1	1083	1186	38	764	0	1113	1363	1633	228	1354	1940	705	729	2009
Bacteriophage_P4_cluster	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	683	0	0	0	0	35	0	0	0	0	0	0	0	0
Bacteriorhodopsin	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BarA-UvrY(SirA)_two-component_regulatory_system	86217	84225	79484	76984	87485	77767	66877	40063	69241	37433	40970	58445	126569	45177	64869	46678	42612	47298	86754	82833	33180	37311	37771	58872	35547	37104	55071	34396	72713	53876
Benzoate_catabolism	0	0	0	0	0	1	6	3086	0	1706	388	505	478	0	21	3834	2333	3402	0	0	2376	2593	3256	0	3944	4021	284	319	0	270
Benzoate_degradation	0	0	0	0	16	34	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0
Benzoate_transport_and_degradation_cluster	0	0	0	0	7044	0	0	0	9620	4355	0	0	0	0	0	0	293	514	9287	0	3148	0	0	0	3199	0	5801	0	0	6009
Beta-Glucoside_Metabolism	16034	8255	10195	7408	12314	13424	11398	25023	1985	21400	10416	12067	11104	7203	6509	33365	31296	26678	14573	8714	32128	18551	27025	12942	64041	31481	10525	6285	11588	10500
Beta-lactamase	0	0	41	0	1573	191	82	7925	2683	14917	227	145	407	1111	487	7430	14072	14102	143	0	14340	9643	15691	305	17059	10691	2290	79	0	2177
Beta-lactamase_cluster_in_Streptococcus	63723	56257	50536	52912	64082	65973	32165	22974	52587	22874	31179	52823	61999	30503	39056	21803	22698	29239	70363	57635	18567	18683	18979	41944	22174	17535	36423	29568	51469	35903
Bile_hydrolysis	0	0	0	0	0	0	0	4353	0	4947	0	0	0	0	0	4549	5740	4760	0	0	3934	3708	3717	0	2754	2896	0	0	0	0
Bile_hydrolysis_related_cluster	0	0	0	0	0	0	0	4353	0	4947	0	0	0	0	0	4549	5397	4760	0	0	3934	3708	3717	0	2754	2896	0	0	0	0
Biofilm_Adhesin_Biosynthesis	2467	4895	4062	2953	3886	3711	0	0	2523	0	0	1779	0	0	0	0	732	0	4354	3535	0	0	0	2718	9	0	0	0	1959	0
Biofilm_formation_in_Staphylococcus	0	5	2	0	0	0	3944	0	0	287	3024	3590	4039	1	2038	0	0	619	0	0	0	618	0	1404	0	0	814	1641	0	740
Biogenesis_of_c-type_cytochromes	25495	32697	35380	18588	33854	35080	12421	14392	26602	15424	6409	9346	35810	11376	12282	17797	17687	17192	22689	19940	14753	13844	18449	22390	16041	16920	9208	8215	34242	9101
Biogenesis_of_cbb3-type_cytochrome_c_oxidases	4397	2993	3581	2562	2889	3817	6146	0	4876	0	3868	0	11580	2786	0	0	0	0	864	2853	0	0	0	4100	0	0	0	2495	4530	0
Biogenesis_of_cytochrome_c_oxidases	6980	5871	6282	4611	5130	6700	4898	0	7311	0	3514	2155	11506	4275	2980	0	45	0	1676	3725	0	0	0	5594	0	0	0	2001	6976	121
Biotin_biosynthesis	61040	53155	49148	18087	53593	65466	20522	68996	24086	69907	12730	31942	38641	12711	23605	84270	64396	80208	64877	20880	65886	64930	73894	14874	82085	66633	24618	16311	54350	14468
Biotin_biosynthesis_Experimental	26007	23250	21753	19918	21895	25846	21054	20390	25067	26742	13614	33018	41314	13864	25617	25995	25854	23503	25888	22554	21735	18388	24150	16654	33775	22484	16201	17231	23437	9311
Biphenyl_Degradation	17293	13815	13143	14220	12750	15698	12221	6153	12443	2972	10004	12724	20291	11698	5721	0	5404	5805	13180	14138	818	2131	7408	14526	1263	3258	6942	7733	15122	6674
BlaR1_Family_Regulatory_Sensor-transducer_Disambiguation	0	1421	1752	1739	34603	0	1254	13657	2467	18998	1193	1872	1890	1111	1128	19306	18285	13770	0	0	22390	13375	27428	1165	36894	21759	3826	1220	36753	3669
Branched-Chain_Amino_Acid_Biosynthesis	182340	184932	174618	166841	173095	201472	144759	98077	181372	90580	144357	229266	266759	110468	159234	95237	97838	119815	203460	185925	72962	84670	81374	145295	74831	77824	94101	126633	155596	98575
Branched_chain_amino_acid_degradation_regulons	35777	28861	27830	28552	30672	35588	25186	21702	38911	20688	9092	30474	55985	20673	19165	26668	21638	27098	33180	25825	17258	20534	18344	23393	16736	20291	19317	22889	31632	19059
Broadly_distributed_proteins_not_in_subsystems	2704	3804	3932	0	2990	3555	0	2941	0	4360	0	0	0	0	0	3908	4729	3232	6091	1732	4564	3120	5379	0	4390	5097	720	0	3950	0
Butanol_Biosynthesis	80025	57842	52176	57974	73106	75292	39336	36016	63086	32645	37441	68578	85106	42022	35386	29145	34718	44434	78655	66342	26252	26719	28754	40142	27783	27036	37592	41612	66485	32475
Butyrate_metabolism_cluster	5891	0	0	0	6025	0	0	0	0	0	0	0	0	0	0	0	0	0	6652	0	0	0	0	0	0	0	4285	0	4725	0
CBSS-138119.3.peg.2719	64104	64819	59397	56439	59067	70196	41698	32910	65661	28979	43220	63746	74759	26354	37588	33669	31091	37284	72220	51591	24584	29199	28527	44277	24999	28802	30124	34229	56189	30142
CBSS-159087.4.peg.2189	0	0	17	121	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBSS-160492.1.peg.550	11334	28880	28843	10824	24923	26737	3113	5705	12425	5168	3227	4146	6313	7417	0	6255	5443	7122	27938	11196	4270	5555	5291	0	3817	5039	0	2713	22440	0
CBSS-176279.3.peg.1262	1234	1165	1034	1040	1311	1276	495	0	672	0	663	885	1095	958	443	0	0	6	1438	1018	0	0	0	953	0	0	796	562	967	730
CBSS-176279.3.peg.868	26257	24148	21612	24539	26897	26403	22289	10652	23495	9914	23999	35324	41122	16069	21323	11866	10135	13291	26575	25118	10586	9943	9435	17827	9679	9149	17905	19357	22529	17842
CBSS-176280.1.peg.1561	21652	23620	24493	24975	22938	22068	7216	27315	25804	27426	6727	9414	10448	15064	5014	37808	27109	33471	29376	23201	26643	27523	30621	16729	32189	29064	16820	5192	19680	16817
CBSS-176299.4.peg.1292	68309	79974	74891	60038	75987	72895	55891	56944	66361	53828	56764	79641	106370	37065	54875	67454	55245	66160	82672	57665	49276	56348	56525	49413	49677	53825	42016	48192	57419	41283
CBSS-176299.4.peg.1996A	14410	12818	11892	1154	14068	14954	434	0	5807	0	0	1260	2206	727	1282	0	0	0	14137	1138	0	0	9686	1326	10769	0	1022	954	11520	944
CBSS-176299.4.peg.1996B	70105	64941	59746	51360	60029	69957	58655	44080	65828	35711	42199	56962	100588	36886	52160	47941	41098	50969	70805	54696	39943	36022	38501	54257	31153	40909	29427	32941	60230	42549
CBSS-188.1.peg.9880	12852	12217	11504	11302	10941	13437	0	6309	11184	9652	0	0	0	8072	0	7811	9283	7842	13292	11626	9026	7151	5879	9691	7207	5287	0	0	11192	0
CBSS-193567.1.peg.90	7190	6985	6093	5815	6083	6759	2449	0	3311	3	3357	4375	4958	5400	2412	0	0	2	8409	5214	0	0	0	4677	0	0	3922	2239	5881	3922
CBSS-194948.1.peg.143	22125	20236	14881	16028	13266	21665	0	21974	21723	22087	1761	0	1	12249	1062	32746	24620	28190	17758	15696	21634	21940	20089	20590	20499	20316	156	0	20253	194
CBSS-196164.1.peg.1690	31589	28435	23732	30845	24788	31452	29332	45745	30557	41972	31822	45973	46262	19999	23888	55612	43538	53472	34287	31666	40946	43161	45677	25102	41731	43433	30096	16153	26995	29928
CBSS-196164.1.peg.461	16490	16192	15113	13881	10636	16062	22196	38	16487	0	0	0	37526	9808	0	0	0	317	13365	14276	8	0	0	15155	0	0	11595	12325	15527	1168
CBSS-196620.1.peg.2477	13929	11569	8939	11327	43589	15738	21668	31861	14415	31147	0	0	37620	8844	0	34596	33103	39228	0	8732	24464	30158	28925	18105	31182	26234	1108	0	50227	1097
CBSS-198094.1.peg.4426	27099	22058	20623	22349	23526	23744	15564	15809	21355	15481	1222	25169	23404	14034	14328	18928	15571	17511	29197	20884	13109	15699	15578	11423	12861	14354	18716	15867	21123	18191
CBSS-203122.12.peg.188	30529	23604	21417	17642	26300	30146	0	10111	4031	9747	0	243	1066	0	0	11793	10037	12266	25363	0	7987	9228	8914	13963	7809	9138	2475	238	26916	2548
CBSS-211586.1.peg.3133	13487	16023	16087	6538	20153	16035	0	7053	0	6776	0	0	5120	0	3362	8281	7527	8527	15126	7498	5770	6978	7434	4629	11520	6207	2127	0	13040	2054
