	env_package.data.body_site	env_package.data.env_package	env_package.data.sample_name	env_package.id	env_package.name	env_package.type	library.data.file_checksum	library.data.file_name	library.data.investigation_type	library.data.metagenome_id	library.data.metagenome_name	library.data.misc_param	library.data.sample_name	library.data.seq_center	library.data.seq_meth	library.data.seq_model	library.data.seq_url	library.id	library.name	library.type	mixs.biome	mixs.collection_date	mixs.country	mixs.env_package_type	mixs.feature	mixs.latitude	mixs.location	mixs.longitude	mixs.material	mixs.PI_firstname	mixs.PI_lastname	mixs.project_id	mixs.project_name	mixs.seq_method	mixs.sequence_type	project.data.administrative-contact_PI_email	project.data.administrative-contact_PI_organization	project.data.administrative-contact_PI_organization_address	project.data.administrative-contact_PI_organization_country	project.data.administrative-contact_PI_organization_url	project.data.email	project.data.firstname	project.data.lastname	project.data.misc_param	project.data.organization	project.data.organization_address	project.data.organization_country	project.data.organization_url	project.data.PI_email	project.data.PI_firstname	project.data.PI_lastname	project.data.PI_organization	project.data.PI_organization_address	project.data.PI_organization_country	project.data.PI_organization_url	project.data.project_description	project.data.project_funding	project.data.project_name	project.data.project-description_project_description	project.data.project-description_project_name	project.id	project.name	project.public	sample.data.biome	sample.data.collection_date	sample.data.continent	sample.data.country	sample.data.env_package	sample.data.feature	sample.data.host_disease	sample.data.material	sample.data.misc_param	sample.data.sample_name	sample.data.temperature	sample.id	sample.name
mgm4472412.3	Stool	human-gut	SRR060025	mge58913	SRR060025: human-gut	human-gut	c74f92c500c16bb80c639cb9be8b7e5d	SRR060025.fastq	metagenome	4472412.3	SRR060025	SRA020910,SRS016495,SRX023394	SRR060025	Baylor College of Medicine		Illumina Genome Analyzer II	http://www.bcm.edu/	mgl58914	SRR060025	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA020910,SRS016495,SRX023394	SRR060025	37.5	mgs58912	SRR060025
mgm4472413.3	Stool	human-gut	SRR060026	mge58916	SRR060026: human-gut	human-gut	4c8c320f5ee3f2d6a4231bde79cf9719	SRR060026.fastq	metagenome	4472413.3	SRR060026	SRA020910,SRS016495,SRX023394	SRR060026	Baylor College of Medicine		Illumina Genome Analyzer II	http://www.bcm.edu/	mgl58917	SRR060026	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA020910,SRS016495,SRX023394	SRR060026	37.5	mgs58915	SRR060026
mgm4472414.3	Anterior nares	human-skin	SRR060027	mge58919	SRR060027: human-skin	human-skin	a45b212809d8161db808c8b39f359e7e	SRR060027.fastq	metagenome	4472414.3	SRR060027	SRA020911,SRS016513,SRX023395	SRR060027	Baylor College of Medicine		Illumina Genome Analyzer II	http://www.bcm.edu/	mgl58920	SRR060027	WGS	terrestrial biome	2009-01-01	United States of America	human-skin	human-associated habitat				organic material	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-skin	human-associated habitat	unknown	organic material	SRA020911,SRS016513,SRX023395	SRR060027	37.5	mgs58918	SRR060027
mgm4472415.3	Anterior nares	human-skin	SRR060028	mge58922	SRR060028: human-skin	human-skin	9623084fcfbcab36006d089c1aca03ad	SRR060028.fastq	metagenome	4472415.3	SRR060028	SRA020911,SRS016513,SRX023395	SRR060028	Baylor College of Medicine		Illumina Genome Analyzer II	http://www.bcm.edu/	mgl58923	SRR060028	WGS	terrestrial biome	2009-01-01	United States of America	human-skin	human-associated habitat				organic material	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-skin	human-associated habitat	unknown	organic material	SRA020911,SRS016513,SRX023395	SRR060028	37.5	mgs58921	SRR060028
mgm4472416.3	Buccal mucosa	human-oral	SRR060030	mge58925	SRR060030: human-oral	human-oral	36a4f3ac0d66ab0e70617c42a88e4d6e	SRR060030.fastq	metagenome	4472416.3	SRR060030	SRA020913,SRS022145,SRX023397	SRR060030	Baylor College of Medicine		Illumina Genome Analyzer II	http://www.bcm.edu/	mgl58926	SRR060030	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	healthy	mucus	SRA020913,SRS022145,SRX023397	SRR060030	37.5	mgs58924	SRR060030
mgm4472417.3	Buccal mucosa	human-oral	SRR060031	mge58928	SRR060031: human-oral	human-oral	528a62b0e7bc5235dc0eaecf55452a19	SRR060031.fastq	metagenome	4472417.3	SRR060031	SRA020913,SRS022145,SRX023397	SRR060031	Baylor College of Medicine		Illumina Genome Analyzer II	http://www.bcm.edu/	mgl58929	SRR060031	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	healthy	mucus	SRA020913,SRS022145,SRX023397	SRR060031	37.5	mgs58927	SRR060031
mgm4472418.3	Buccal mucosa	human-oral	SRR060032	mge58931	SRR060032: human-oral	human-oral	a18ff00ae7c983e6c1413f6ba8bf59af	SRR060032.fastq	metagenome	4472418.3	SRR060032	SRA020914,SRS022532,SRX023398	SRR060032	J. Craig Venter Institute		Illumina Genome Analyzer II	http://www.jcvi.org/	mgl58932	SRR060032	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	unknown	mucus	SRA020914,SRS022532,SRX023398	SRR060032	37.5	mgs58930	SRR060032
mgm4472419.3	Supragingival plaque	human-oral	SRR060033	mge58934	SRR060033: human-oral	human-oral	d3afa506cdb2e7314ba6168614efef10	SRR060033.fastq	metagenome	4472419.3	SRR060033	SRA020915,SRS022536,SRX023399	SRR060033	J. Craig Venter Institute		Illumina Genome Analyzer II	http://www.jcvi.org/	mgl58935	SRR060033	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	healthy	mucus	SRA020915,SRS022536,SRX023399	SRR060033	37.5	mgs58933	SRR060033
mgm4472420.3	Posterior fornix	human-vaginal	SRR060034	mge58937	SRR060034: human-vaginal	human-vaginal	99e51c0ce1bfbc19cbd2f65222f5e0d7	SRR060034.fastq	metagenome	4472420.3	SRR060034	SRA020916,SRS022545,SRX023400	SRR060034	J. Craig Venter Institute		Illumina Genome Analyzer II	http://www.jcvi.org/	mgl58938	SRR060034	WGS	terrestrial biome	2009-01-01	United States of America	human-vaginal	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-vaginal	human-associated habitat	healthy	mucus	SRA020916,SRS022545,SRX023400	SRR060034	37.5	mgs58936	SRR060034
mgm4472421.3	Stool	human-gut	SRR060035	mge58940	SRR060035: human-gut	human-gut	63c503fd4db855d74c8b7272890d68f1	SRR060035.fastq	metagenome	4472421.3	SRR060035	SRA020917,SRS022713,SRX023401	SRR060035	J. Craig Venter Institute		Illumina Genome Analyzer II	http://www.jcvi.org/	mgl58941	SRR060035	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	unknown	feces	SRA020917,SRS022713,SRX023401	SRR060035	37.5	mgs58939	SRR060035
mgm4472422.3	Tongue dorsum	human-oral	SRR060036	mge58943	SRR060036: human-oral	human-oral	3d1488ce982a537b1f3f538f14fb8475	SRR060036.fastq	metagenome	4472422.3	SRR060036	SRA020918,SRS022719,SRX023402	SRR060036	J. Craig Venter Institute		Illumina Genome Analyzer II	http://www.jcvi.org/	mgl58944	SRR060036	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	unknown	mucus	SRA020918,SRS022719,SRX023402	SRR060036	37.5	mgs58942	SRR060036
mgm4472423.3	Buccal mucosa	human-oral	SRR060037	mge58946	SRR060037: human-oral	human-oral	7cd01b2b19afa133bd04d74c585a9a55	SRR060037.fastq	metagenome	4472423.3	SRR060037	SRA020919,SRS023354,SRX023403	SRR060037	J. Craig Venter Institute		Illumina Genome Analyzer II	http://www.jcvi.org/	mgl58947	SRR060037	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	healthy	mucus	SRA020919,SRS023354,SRX023403	SRR060037	37.5	mgs58945	SRR060037
mgm4472424.3	Posterior fornix	human-vaginal	SRR060038	mge58949	SRR060038: human-vaginal	human-vaginal	9bcd1b9db1279867deef9e4cadde0848	SRR060038.fastq	metagenome	4472424.3	SRR060038	SRA020920,SRS023468,SRX023404	SRR060038	J. Craig Venter Institute		Illumina Genome Analyzer II	http://www.jcvi.org/	mgl58950	SRR060038	WGS	terrestrial biome	2009-01-01	United States of America	human-vaginal	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-vaginal	human-associated habitat	healthy	mucus	SRA020920,SRS023468,SRX023404	SRR060038	37.5	mgs58948	SRR060038
mgm4472425.3	Stool	human-gut	SRR060039	mge58952	SRR060039: human-gut	human-gut	b9829404796eb7e36fefc7338cf007d1	SRR060039.fastq	metagenome	4472425.3	SRR060039	SRA020921,SRS057478,SRX023405	SRR060039	J. Craig Venter Institute		Illumina Genome Analyzer II	http://www.jcvi.org/	mgl58953	SRR060039	WGS	terrestrial biome	2009-01-01	United States of America	human-gut	human-associated habitat				feces	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-gut	human-associated habitat	healthy	feces	SRA020921,SRS057478,SRX023405	SRR060039	37.5	mgs58951	SRR060039
mgm4472426.3	Tongue dorsum	human-oral	SRR060040	mge58955	SRR060040: human-oral	human-oral	7c96168d63e67170c20d835ab2fbe910	SRR060040.fastq	metagenome	4472426.3	SRR060040	SRA020922,SRS044662,SRX023406	SRR060040	J. Craig Venter Institute		Illumina Genome Analyzer II	http://www.jcvi.org/	mgl58956	SRR060040	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	healthy	mucus	SRA020922,SRS044662,SRX023406	SRR060040	37.5	mgs58954	SRR060040
mgm4472427.3	Buccal mucosa	human-oral	SRR060041	mge58958	SRR060041: human-oral	human-oral	3420079013de9473fbe75c374ecd6840	SRR060041.fastq	metagenome	4472427.3	SRR060041	SRA020923,SRS052668,SRX023407	SRR060041	J. Craig Venter Institute		Illumina Genome Analyzer II	http://www.jcvi.org/	mgl58959	SRR060041	WGS	terrestrial biome	2009-01-01	United States of America	human-oral	human-associated habitat				mucus	 - 	 - 	mgp385	Human Microbiome Project (HMP)		WGS	HMPinformation@mail.nih.gov	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	 - 	 - 	 - 	SRA024300,SRS049900,SRX027122	 - 	 - 	 - 	 - 	HMPinformation@mail.nih.gov	 - 	 - 	National Institutes of Health (NIH)	9000 Rockville Pike, Bethesda, Maryland 20892	United States of America	http://www.hmpdacc.org	Project for HMP reanalysis of public data sets.MG-RAST is providing analysis tools and access to the HMPÂs metagenome sequence and metadata.The Human Microbiome Project (http://commonfund.nih.gov/hmp/) aims to analyze the role of microbes in human health and disease through the characterization of microbial communites for several human body sites. The HMP Reference Genomes, metagenomic shotgun and 16S rRNA sequence data and analyses are available at the HMP-DACC (http://www.hmpdacc.org/) data repository. 	NIH	Human Microbiome Project (HMP)	Project for HMP reanalysis	Human Microbiome Project (HMP)	mgp385	Human Microbiome Project (HMP)	Human Microbiome Project (HMP)	terrestrial biome	2009-01-01	North America	United States of America	human-oral	human-associated habitat	unknown	mucus	SRA020923,SRS052668,SRX023407	SRR060041	37.5	mgs58957	SRR060041
